review,num_stars
"Recently tried @toriyamasg 's yakitori and I must say many of them were splendid � Although they can be a little pricey, the sticks came with huge chunks of meat which were very inviting. One of my favourites got to be their Salmon ($6), as it was so well seasoned and well grilled. It was meaty, tender and just an irresistible bite. Their Eggplant Miso ($5) was interesting too, as it had a sweet savoury marinade and was cooked through without being slimy. Non-eggplant fans will still love them!
Their mains were decent, but nothing to shout out about. I believe it's best to come here just for some good yakitori and mains! Location wise it's quite near the hipster Tiong Bahru area. Thank you @foodleaguesg for inviting and @toriyamasg for the food!",4
"Finally tried @doqoosg 's famous mochi waffles and it was pretty decent! I think it's a great snack to have but there's no need to travel far and wide for it �
The Chocolate Mochi Waffles ($3.50) was surprisingly not so sweet, with a pretty deep chocolate flavour in the waffles. When eaten hot fresh out of the pan, the waffles had a slightly crispy exterior, soft fluffy centre and the mochi within was very stretchy � definitely best eaten on the spot, the texture of the whole combination wouldn't be great when cold. The mochi itself does not have much flavour, so they mostly contributed through its chewy texture.
A great snack to have if you are around the area!",4
"Got myself a bowl of dry Ban Mian with meatballs ($5.50) from He Jia Huan for lunch and I was so impressed � I thought their soup noodles were quite good already, but their dry version is even better!
The sauce to mix with the noodles is of a simple blend of soya sauce, flavoured oil and chilli, but it was so addictive due it's savoury umami profile. The chilli had some heat, and some kind of nostalgic taste which was hard to describe. I loved how the noodles were really chewy, as how handmade noodles should be! The portion is quite decent as well, with tender flavourful pork slices and pork balls. For a palette cleanser, the soup can help to cut the oiliness with its deep ikan billis broth.
Definitely a noodle dish I will get when I'm back at Redhill Food Centre again �
He Jia Huan #01-69",5
"Korean BBQ restaurants are in abundance here in Singapore, but I really think @hanjip.sg is a cut above due to its meat quality as well as its consistency in food quality among varying types of dishes. Yes prices might be abit higher than other places, but food quality is really good here! It was so hard to choose favourites, but here are my top picks:
USDA Prime Rib-eye from the Hanjip Platter ($188) - the platter may be quite pricey, but it's quality meat you're getting. The rib-eye was my favourite, as the grilling was done so well as our steak was perfectly medium rare with a smoky crust on the outside. Biting into a piece with salt unleashes an explosion of flavours, and it was so tender too!
Marinated Pork Collar from the Hanjip Platter - soft, sweet and savoury, this was exactly the quality I got when I had the same dish in Korea. Perfect with kimchi and saam!
Beef Short Ribs Stew ($35) - the flavour of the soup was incredibly deep and it was telling of how long they cooked the beef bones for. The short rib pieces were thick, meaty and very tender as well. This is one very well executed soup dish.
Soy Korean Fried Half Chicken ($30) - never thought they can do fried chicken well too. The batter was light and crispy and the inside was tender and juicy. The marinade penetrated deep into the meat, and I loved the garlic soy sauce on the outside as well. So satisfying!
Do pair your food with @chorongchorong.official
's soju as they did not taste too artificial like other brands! Personally like them alot �
Let me share with you a special offer, if you reserve through CHOPE, they will be giving out complimentary plate of Wagyu beef brisket! Also, if you order anKorean BBQ restaurants are in abundance here in Singapore, but I really think @hanjip.sg is a cut above due to its meat quality as well as its consistency in food quality among varying types of dishes. Yes prices might be abit higher than other places, but food quality is really good here! It y set meals on weekend lunch, they will give a complimentary plate of Kurobuta Pork Belly! I've tried both and they were fantastic too �
Can't compliment this place enough. Can't wait for my next trip here!",5
"If you have a spicy appetite, @xiaolongkansg would be a hotpot restaurant for you to consider. With incredibly spicy yet authentic mala soup base and chilli covered meats, you are bound to get your chilli craving fixed here!
The Mala broth itself was a little different in flavour as compared to other restaurants, as the natural flavour of the chilli is more pronounced. We ordered small spice and it had quite a kick already! The other half of the pot we had pork bone soup which was decent, not too flavourful but not too salty as well, even towards the end of the meal.
If you want spice on spice, the Hot and Spicy Beef is for you. Each piece was smoked and a huge amount of chilli flakes were pressed onto it. I mostly taste the natural flavour of chilli used; most Singaporeans may not be accustomed to eating like this but some may like it!
Their other meat options were decent, pork slices were fresh and tender.
Interestingly, my favourite dish among all we ordered was their fried mantou � it was actually fried very well with a crispy outer crust and a fluffy inside without being too oily. Perfect with the condensed milk!
If you would like a good sauce to accompany your meats, I recommend you add their fragrant oil which comes in a plastic can. It reminded me of a mixture between sesame and shallot oil which was just bangin' �
A hotpot to consider if you want some spicy kick. Personally, I didn't quite appreciate the spice. Thank you @eatwithkeat for inviting and @foodspo.koh for joining us! Total including other meats like cuttlefish paste and prawns was about $150 for 4 pax.",3
"I'm happy to report that the Wagyu donburi at @waacowsg is still as good as before � it's been many years since I've had my last bowl at Waa Cow, and this was still very satisfying!
I had the Original Wagyu Donburi ($22.90) and it came filled with pieces of tender and flavourful beef slices! They were smoky and well seasoned and absolutely perfect with the onsen egg provided. The Japanese rice was flavourful slightly with the sauce on the beef too.
For sides, I highly recommend their Truffle Fries ($14.90). They may be thin, but they were satisfyingly crispy with just a slight fluffiness. The truffle mayo made the fries even more addictive!
The donburis might be a little costly, but your heart and stomach will thank you �",5
"I wondered why so many people loved @xiangxiangsg and I now know why. With good food, good service and free snacks, what's there not to love? Join their free membership and you can get quite a good discount too!
The Golden Broth Sour and Spicy Fish ($25.90 member price) was a crowd favourite, due to its comforting flavourful broth. It isn't too spicy, and the fish slices had a wonderful bouncy tender, signifying its freshness. This is so good with rice!
Their 18 second Angus Beef Stir-fry ($18.90 member price) is also another good order. Bold in flavours, the beef slices were relatively tender and quite smoky. We absolutely loved the garlic pieces as they had so much umami! Definitely a beer food material as it was so addictive!
Finally, their claypot tofu stew ($14.90 member price) was another staple we had to order. The taste is familiar, but better than the usual claypot tofu. Their tofu is also different, as it had a fish cake texture instead.
There were other dishes that we had but they weren't worth mentioning. I must say their dishes were mostly executed well. I wouldn't say they are the best, but they have the quality and price range that would be accessible to most families and they do warrant return trips. Can't wait to be back!",4
"Found out that @kappoaraisg is new to the omakase scene and decided to try it out! Their omakase menu ($99) changes monthly and they usually come with a variety of cooked dishes. I must say, most of the items served were all decent, but not mind-blowing. The sashimi and sushi courses were all fresh. Their strength seems to be yakitori and sukiyaki instead, as these 2 courses were the ones which were exceptional.
I loved their chicken yakitori, as it was so flavourful even though the chicken was just seasoned with salt. Even the chicken breast was so moist!
Their A5 Wagyu Sukiyaki was simply stunning. The beef slices were so tender and flavourful, and they paired so well with the onsen egg. The sauce was such a good rendition, as it was so wonderfully aromatic with sweet and savoury flavours!
All in all, considering the whole package, I would think is a can try but not a must try. The ambience is a very casual one, and I really didn't like the English pop playing in the background as it didn't seem to fit the atmosphere well. Just a personal preference!",4
"So glad to have tried @nickel.sg recently, as their coffee and matcha drinks were simply fantastic � to add on to that, their cafe is also really aesthetic!
The Iced Latte ($7) was a very smooth cup, and it was rich and aromatic. Chocolate and nutty notes were strong, and the milk amount was just nice. Definitely a wonderful blend that is worth sipping!
The Dirty Matcha ($8) was also a flavourful cup. The matcha powder used was of a high quality and hence it was intense and aromatic. The matcha itself was very nutty, almost to the point that it tastes slightly savoury. I actually like this kind of intense matcha and hence it worked out well for me! The Matcha was hand-wisked as well, so it was really smooth � It did overpower the coffee notes quite a bit so maybe it's better to just order the Iced Matcha Latte instead!
Loved the touch of mini Madeleines as well. It was crispy and buttery, perfect with the drinks we got.
Definitely an aesthetic cafe that you should come try! Their desserts look good too!",5
"Not sure if there are people like me who enjoy an old school traditional Kopitiam experience, but if you do, this place has the vibes and food that is like that. From the seemingly rude aunty and uncle shouting to the slamming of plates and bowls in front of you, I actually dig into such vibes �
Wait till you try their food. Their Yong Tau Foo ($5) is up to the owner to decide which ingredients to give you, and each of them was bursting with a nostalgic taste. It's not like it's so good that you need to come from the far end to try, but each ingredient is handmade with simple meat filling. To cater for the older crowd, they were not too salty and the soup was very comforting and hearty. Not the most flavourful, but definitely perfect for a rainy day.
Now their ingredients come with a plate of dry noodles that were just simply seasoned with minced meat with some kind of flavoured oil. It has an al dente texture and is much better with their homemade chilli. It was not particularly spicy but flavourful.
I feel like it is an experience to dine here, as it reminds you of the olden days where people probably ate the same bowl to get by their day. Such sentimental feelings were probably intensified by the look and feel of the shophouses nearby!",5
